,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
93,192,Stargate SG-1,(1997–2007),"Action, Adventure, Drama",8.4,83840,565,TV Show,Stargate SG-1,2006,10
94,1583,Fabulous Lives of Bollywood Wives,(2020– ),Reality-TV,3.5,7107,571,TV Show,Fabulous Lives of Bollywood Wives,2020,1
95,819,America's Next Top Model,(2003– ),"Game-Show, Reality-TV",5.5,17191,586,TV Show,America's Next Top Model,2013,2
96,661,Survivor,(2000– ),"Adventure, Game-Show, Reality-TV",7.2,21923,589,TV Show,Survivor,2014,2
97,98,The Crown,(2016– ),"Biography, Drama, History",8.7,150834,590,TV Show,The Crown,2020,4
98,42,American Horror Story,(2011– ),"Drama, Horror, Thriller",8.0,277746,591,TV Show,American Horror Story,2019,9
99,237,Paranormal,(2020– ),"Drama, Fantasy, Horror",8.1,67621,606,TV Show,Paranormal,2020,1
100,1879,Love & Anarchy,(2020– ),"Comedy, Drama, Romance",7.4,5618,607,TV Show,Love & Anarchy,2020,1
101,434,Dawson's Creek,(1998–2003),"Drama, Romance",6.6,36347,610,TV Show,Dawson's Creek,2002,6
102,1171,Blood of Zeus,(2020– ),"Animation, Action, Fantasy",7.6,10726,627,TV Show,Blood of Zeus,2020,1
103,817,Barbarians,(2020– ),"Action, Adventure, Drama",7.2,17258,630,TV Show,Barbarians,2020,1
104,1539,Unsolved Mysteries,(2020– ),"Documentary, Crime, Mystery",7.3,7456,635,TV Show,Unsolved Mysteries,2020,2
105,63,The 100,(2014–2020),"Drama, Mystery, Sci-Fi",7.6,216968,652,TV Show,The 100,2020,7
106,353,Emily in Paris,(2020– ),"Comedy, Drama, Romance",7.1,44905,658,TV Show,Emily in Paris,2020,1
107,1033,H2O: Just Add Water,(2006–2010),"Drama, Family, Fantasy",7.2,12575,659,TV Show,H2O: Just Add Water,2009,3
108,1076,Evil,(2019– ),"Crime, Drama, Horror",7.6,11914,660,TV Show,Evil,2019,1
109,431,Sword Art Online,(2012– ),"Animation, Action, Adventure",7.6,36654,667,TV Show,Sword Art Online,2018,3
110,1371,Man with a Plan,(2016–2020),Comedy,7.0,8721,672,TV Show,Man with a Plan,2020,4
111,808,Wentworth,(2013–2021),"Crime, Drama",8.6,17399,673,TV Show,Wentworth,2020,8
112,790,Van Helsing,(2016– ),"Action, Drama, Fantasy",6.2,17989,675,TV Show,Van Helsing,2019,4
113,130,The Good Place,(2016–2020),"Comedy, Drama, Fantasy",8.2,115590,676,TV Show,The Good Place,2020,4
114,407,Ratched,(2020– ),"Crime, Drama, Mystery",7.3,38629,684,TV Show,Ratched,2020,1
115,74,The Blacklist,(2013– ),"Crime, Drama, Mystery",8.0,197895,686,TV Show,The Blacklist,2019,7
116,1408,Baby,(2018–2020),Drama,6.8,8421,689,TV Show,Baby,2020,3
117,932,Criminal: UK,(2019– ),"Crime, Drama, Thriller",7.6,14498,691,TV Show,Criminal: UK,2020,2
118,710,Call the Midwife,(2012– ),"Drama, History",8.4,20260,694,TV Show,Call the Midwife,2020,9
119,1834,Julie and the Phantoms,(2020– ),"Comedy, Family, Fantasy",8.4,5883,702,TV Show,Julie and the Phantoms,2020,1
120,704,Away,(2020),"Drama, Romance, Sci-Fi",6.6,20535,708,TV Show,Away,2020,1
121,1693,Young Wallander,(2020– ),"Crime, Drama, Mystery",6.8,6487,710,TV Show,Young Wallander,2020,1
122,735,Borgen,(2010– ),Drama,8.5,19655,715,TV Show,Borgen,2012,3
123,1129,"Sister, Sister",(1994–1999),"Comedy, Drama, Family",6.2,11278,720,TV Show,"Sister, Sister",1998,6
124,1604,Trinkets,(2019–2020),"Comedy, Crime, Drama",7.1,6981,729,TV Show,Trinkets,2020,2
125,1524,Rita,(2012–2020),"Comedy, Drama",8.1,7553,740,TV Show,Rita,2020,5
